cWI_ap,cSI_ap,cLI_ap,Food_intake_alim,Water_alim,Pr_alim,Prpourc_alim,CHO_alim,CHOpourc_alim,Sugar_alim,Amidon_alim,Fiber_alim,Lipid_alim,Lippourc_alim,SaturedLip_alim,MonoSLip_alim,PolyinSLip_alim,Chol_alim,Alcohol_alim,Sodium_alim,K_alim,Mg_alim,Ph_alim,Ca_alim,Fe_alim,VitA_alim,Betacarotene_alim,VitB1_alim,VitB2_alim,VitB3_alim,VitB5_alim,VitB6_alim,VitB9_alim,VitB12_alim,VitC_alim,VitD_alim,VitE_alim,aperitifs_tartes_salees_pizzas,boissons_alcoolisees,boissons_non_sucrees_sans_alcool,boissons_sucrees_sans_alcool,cereales,cereales_du_petit_dejeuner,charcuterie,corps_gras,eau,fromage,fruits,lait,legumes,legumineuses,Noix_graines,oeufs,pain_et_produits_panifies,produits_aquatiques,produits_sucres,sauces_et_condiments,Soupes,tubercules,viande_blanche,viande_rouge,viennoiseries_patisseries_biscui,yaourt_fromage_blanc
3,4,2,3,4,1,5,2,4,1,2,2,3,4,2,2,2,2,2,2,2,3,2,3,3,4,2,4,2,1,3,3,2,2,2,1,1,3,4,3,3,1,3,4,4,4,1,3,4,1,5,5,1,3,3,3,4,2,1,1,3,4,4
3,3,4,3,1,1,1,5,4,4,4,3,1,1,1,1,4,3,3,3,3,4,3,4,4,2,3,3,3,3,3,3,3,4,2,4,4,4,4,4,2,5,5,1,4,2,2,4,1,4,3,5,2,2,4,4,1,2,4,2,3,4,2
3,1,2,2,4,2,4,4,5,4,2,2,2,1,2,2,1,4,1,2,3,4,3,4,4,3,3,3,3,3,3,3,4,3,2,1,2,4,4,3,3,2,3,1,4,1,4,2,1,3,3,5,2,3,4,4,4,2,1,2,4,3,1
3,1,1,1,3,2,4,1,3,1,4,4,4,2,3,2,4,3,1,1,3,3,1,1,3,3,2,4,2,2,2,2,3,1,3,2,3,2,4,4,3,2,5,4,2,2,4,5,4,1,5,5,2,3,4,4,3,3,4,3,3,1,1
3,3,1,3,3,4,3,3,3,4,2,3,3,2,2,2,3,2,4,3,4,1,1,2,1,2,3,1,1,4,1,4,4,1,3,2,1,3,5,3,4,5,5,1,2,2,3,3,2,3,5,1,4,2,3,1,4,4,4,4,1,4,4
3,3,3,2,2,4,2,4,1,4,3,4,1,1,4,2,4,2,3,2,4,4,2,4,1,4,4,4,1,1,2,1,4,4,3,2,3,4,4,1,4,2,3,1,2,1,5,2,3,2,3,5,1,4,3,3,4,4,2,1,4,4,2
3,1,2,1,4,4,4,3,2,3,3,3,1,2,3,3,2,4,4,4,4,1,3,3,1,3,1,1,1,1,1,1,3,1,3,2,2,3,5,3,2,4,5,2,3,4,4,2,4,1,5,5,3,2,2,2,2,3,2,4,4,1,4
3,1,3,2,4,3,2,2,1,4,3,4,2,2,1,1,1,4,4,4,5,2,2,1,1,4,4,2,2,1,1,1,4,3,3,1,3,3,5,3,1,2,5,3,1,4,3,3,2,3,5,5,3,4,2,3,3,4,4,2,1,3,3
3,4,2,4,2,3,4,3,3,5,1,4,4,4,5,4,1,5,4,4,2,1,4,2,4,4,4,2,1,2,1,1,1,4,2,4,4,1,5,1,3,2,5,1,2,3,2,4,1,1,5,5,2,3,3,2,4,1,3,2,2,2,1
4,4,3,1,5,4,2,2,3,4,2,2,1,1,4,3,1,1,4,2,3,4,5,4,1,1,2,2,1,3,4,4,3,2,4,2,4,1,5,3,1,4,3,3,1,3,1,4,3,2,3,5,1,1,3,4,2,3,1,3,2,4,2
3,3,3,4,1,1,1,4,4,1,1,2,4,3,4,1,2,1,4,2,2,2,2,2,2,4,2,2,2,4,2,2,2,2,1,1,2,3,5,3,2,5,3,3,3,1,2,4,1,2,5,5,4,2,2,3,1,4,3,3,4,4,4
3,3,1,3,3,3,2,4,3,1,3,2,2,3,3,4,1,2,4,2,3,2,1,1,2,2,2,1,1,2,1,2,4,1,3,4,1,1,5,2,2,3,3,4,1,2,2,4,4,2,3,5,3,2,3,1,3,1,3,2,1,4,3
3,4,2,1,3,4,4,2,1,2,1,3,4,3,3,2,1,2,1,4,3,4,4,4,4,2,2,1,5,5,5,5,3,5,2,4,2,2,4,4,3,3,5,1,2,2,3,3,1,4,5,5,4,3,4,1,2,1,1,1,3,2,3
3,1,1,4,1,1,1,4,4,3,4,1,4,4,4,4,4,4,4,3,3,4,4,3,4,4,2,4,3,4,3,3,3,4,2,4,3,1,4,1,1,1,3,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1
1,3,2,2,2,2,1,3,2,2,2,4,2,4,1,3,3,3,4,4,1,3,2,1,3,1,4,1,2,4,3,3,2,4,4,3,3,3,5,3,1,4,5,2,3,1,4,1,4,2,5,5,2,2,1,4,4,4,3,3,1,1,5
4,3,1,1,4,3,4,2,2,3,1,4,4,3,3,1,4,3,1,1,4,2,1,3,3,3,4,4,4,4,4,4,4,3,4,3,3,2,4,2,2,1,5,4,3,3,3,3,5,3,5,1,1,3,2,1,2,1,2,4,3,1,3
3,3,2,3,2,2,1,1,1,2,4,1,1,1,4,3,1,1,4,1,1,1,2,1,2,2,4,1,1,2,2,3,1,1,1,1,1,3,5,1,3,4,3,4,1,2,1,1,4,4,5,5,2,4,1,3,3,4,4,1,2,2,1
3,1,2,4,3,2,3,1,4,3,3,4,3,1,2,1,2,3,2,1,1,3,3,2,2,2,1,2,3,3,3,3,1,2,2,1,2,3,4,4,3,4,5,4,1,2,3,3,3,3,5,5,3,3,2,4,4,1,3,3,4,2,1
3,1,2,5,2,3,1,2,4,1,1,4,4,1,3,5,1,2,4,4,2,2,1,2,1,1,1,1,3,3,3,1,2,1,3,3,4,4,5,2,3,2,5,2,5,3,4,2,2,1,5,5,2,1,1,4,4,3,1,1,4,3,2
3,1,4,2,4,3,2,2,1,4,1,2,2,2,1,1,2,1,2,4,3,4,1,1,4,1,3,1,4,2,4,3,3,2,4,3,1,2,4,3,4,4,3,2,3,4,3,3,2,3,5,5,4,3,1,2,5,3,3,4,3,2,4
3,4,3,4,2,1,2,4,3,1,4,3,2,3,2,1,3,1,2,1,2,3,3,2,2,4,3,3,3,2,2,1,4,2,3,1,2,2,2,4,5,3,3,3,1,3,4,2,2,2,5,5,5,2,3,1,1,2,4,1,2,2,2
1,1,2,4,1,1,1,1,2,3,2,2,3,3,1,4,2,2,1,4,1,3,1,3,3,1,3,1,1,2,3,1,1,3,2,1,2,3,4,2,2,3,3,1,4,3,1,4,4,4,3,5,4,4,2,3,1,2,3,1,2,2,2
2,3,2,2,1,3,1,3,2,2,1,2,5,5,4,4,5,4,4,5,1,1,2,1,1,5,3,4,1,2,2,1,3,1,2,1,4,3,5,2,3,2,5,4,4,3,1,1,1,4,5,5,3,4,3,5,4,1,4,1,1,4,1
2,3,3,1,1,1,4,1,1,2,4,1,3,1,2,2,3,3,4,3,2,1,4,3,4,2,3,1,3,1,3,2,1,2,3,2,3,1,1,2,4,2,5,3,1,2,2,3,2,2,3,5,1,4,1,1,1,5,4,3,4,3,3
5,2,3,3,1,4,3,1,2,3,3,2,1,4,4,3,4,4,4,3,2,3,4,1,3,4,2,3,2,3,4,2,1,1,1,2,1,3,5,1,1,1,3,3,3,2,3,2,3,3,5,5,3,1,1,2,4,1,1,4,3,4,3
2,2,3,4,1,1,1,4,4,3,4,1,4,4,4,4,4,4,4,3,3,4,4,3,4,4,2,4,3,4,3,3,3,4,2,4,3,1,4,1,1,1,3,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1
1,3,1,4,1,1,1,4,4,3,4,1,4,4,4,4,4,4,4,3,3,4,4,3,4,4,2,4,3,4,3,3,3,4,2,4,3,1,4,1,1,1,3,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1
4,3,1,3,3,2,3,3,1,3,3,4,2,4,1,1,3,1,2,1,1,3,1,3,3,3,2,3,1,4,1,2,2,2,1,1,1,2,4,3,1,3,5,3,1,4,1,4,4,3,5,1,2,2,1,3,3,3,1,1,1,3,3
